site,cell,PHASE,technology,2G status,3G status,ZTE CLUSTER SEQUENCE,VENDOR,AZIMUTH,LAT,LONG
ADM5212,ADM5212A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,45,25.7613,68.6614
ADM5212,ADM5212B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,170,25.7613,68.6614
ADM5212,ADM5212C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,300,25.7613,68.6614
ADM5212,ADM5212D,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,55,25.7613,68.6614
ADM5212,ADM5212E,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,180,25.7613,68.6614
ADM5212,ADM5212F,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,310,25.7613,68.6614
ADM5332,ADM5332A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,80,25.76849,68.6597
ADM5332,ADM5332B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,150,25.76849,68.6597
ADM5332,ADM5332C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,280,25.76849,68.6597
ADM5332,ADM5332D,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,90,25.76849,68.6597
ADM5332,ADM5332E,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,160,25.76849,68.6597
ADM5332,ADM5332F,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,290,25.76849,68.6597
ADM6553,ADM6553A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,70,25.75347,68.65772
ADM6553,ADM6553B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,180,25.75347,68.65772
ADM6553,ADM6553C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,295,25.75347,68.65772
ADM6833,ADM6833A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,60,25.75611,68.66691
ADM6833,ADM6833B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,180,25.75611,68.66691
ADM6833,ADM6833C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,300,25.75611,68.66691
ADM7799,ADM7799A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,70,25.775,68.66136
ADM7799,ADM7799B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,180,25.775,68.66136
ADM7799,ADM7799C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,330,25.775,68.66136
ADM7890,ADM7890A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,60,25.76524,68.66844
ADM7890,ADM7890B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,180,25.76524,68.66844
ADM7890,ADM7890C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,300,25.76524,68.66844
ADM7890,ADM7890D,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,70,25.76524,68.66844
ADM7890,ADM7890E,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,190,25.76524,68.66844
ADM7890,ADM7890F,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,310,25.76524,68.66844
ADM7892,ADM7892A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,40,25.76352,68.65497
ADM7892,ADM7892B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,160,25.76352,68.65497
ADM7892,ADM7892C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,300,25.76352,68.65497
ADM7892,ADM7892D,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,50,25.76352,68.65497
ADM7892,ADM7892E,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,170,25.76352,68.65497
ADM7892,ADM7892F,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,310,25.76352,68.65497
AKR6613,AKR6613A,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,55,26.95423,68.43022
AKR6613,AKR6613B,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,210,26.95423,68.43022
AKR6613,AKR6613C,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,295,26.95423,68.43022
AKR6613,AKR6613D,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,55,26.95423,68.43022
AKR6613,AKR6613E,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,220,26.95423,68.43022
AKR6613,AKR6613F,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,305,26.95423,68.43022
AKR6614,AKR6614A,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,50,26.93283,68.46932
AKR6614,AKR6614B,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,140,26.93283,68.46932
AKR6614,AKR6614C,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,310,26.93283,68.46932
AKR6614,AKR6614D,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,60,26.93283,68.46932
AKR6614,AKR6614E,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,150,26.93283,68.46932
AKR6614,AKR6614F,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,320,26.93283,68.46932
AKR6615,AKR6615A,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,50,26.92183,68.42982
AKR6615,AKR6615B,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,145,26.92183,68.42982
AKR6615,AKR6615C,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,320,26.92183,68.42982
AKR6615,AKR6615D,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,60,26.92183,68.42982
AKR6615,AKR6615E,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,155,26.92183,68.42982
AKR6615,AKR6615F,Phase-1,2G,on air,#N/A,CL14_Kandiaro,ZTE,330,26.92183,68.42982
ALH6611,ALH6611A,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,80,26.95219,67.81867
ALH6611,ALH6611B,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,150,26.95219,67.81867
ALH6611,ALH6611C,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,240,26.95219,67.81867
ALH6611,ALH6611D,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,90,26.95219,67.81867
ALH6611,ALH6611E,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,160,26.95219,67.81867
ALH6611,ALH6611F,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,250,26.95219,67.81867
ALH6612,ALH6612A,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,70,26.86093,67.78549
ALH6612,ALH6612B,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,180,26.86093,67.78549
ALH6612,ALH6612C,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,310,26.86093,67.78549
ALH6612,ALH6612D,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,80,26.86093,67.78549
ALH6612,ALH6612E,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,190,26.86093,67.78549
ALH6612,ALH6612F,Phase-1,2G,on air,#N/A,CL10_Mehar,ZTE,320,26.86093,67.78549
AMR6632,AMR6632A,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,40,26.03892,68.13852
AMR6632,AMR6632B,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,150,26.03892,68.13852
AMR6632,AMR6632C,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,280,26.03892,68.13852
AMR6632,AMR6632D,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,50,26.03892,68.13852
AMR6632,AMR6632E,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,160,26.03892,68.13852
AMR6632,AMR6632F,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,290,26.03892,68.13852
AMR6633,AMR6633A,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,50,26.1275,68.06382
AMR6633,AMR6633B,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,150,26.1275,68.06382
AMR6633,AMR6633C,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,310,26.1275,68.06382
AMR6633,AMR6633D,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,60,26.1275,68.06382
AMR6634,AMR6634A,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,60,26.10051,68.15126
AMR6634,AMR6634B,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,150,26.10051,68.15126
AMR6634,AMR6634C,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,340,26.10051,68.15126
ARI7105,ARI7105A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,15,27.41321,68.17795
ARI7105,ARI7105B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,130,27.41321,68.17795
ARI7105,ARI7105C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,210,27.41321,68.17795
ATT0515,ATT0515A,Phase-1,2G,on air,#N/A,CL01_Umerkot-Thar,ZTE,95,25.3652,69.62181
ATT0515,ATT0515B,Phase-1,2G,on air,#N/A,CL01_Umerkot-Thar,ZTE,220,25.3652,69.62181
ATT0515,ATT0515C,Phase-1,2G,on air,#N/A,CL01_Umerkot-Thar,ZTE,300,25.3652,69.62181
ATT0515,ATT0515D,Phase-1,2G,on air,#N/A,CL01_Umerkot-Thar,ZTE,105,25.3652,69.62181
ATT0515,ATT0515E,Phase-1,2G,on air,#N/A,CL01_Umerkot-Thar,ZTE,230,25.3652,69.62181
ATT0515,ATT0515F,Phase-1,2G,on air,#N/A,CL01_Umerkot-Thar,ZTE,310,25.3652,69.62181
BAG6608,BAG6608A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,65,27.87836,67.67207
BAG6608,BAG6608B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,230,27.87836,67.67207
BAG6608,BAG6608C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,300,27.87836,67.67207
BAG6908,BAG6908A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,60,27.87429,67.70677
BAG6908,BAG6908B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,180,27.87429,67.70677
BAG6908,BAG6908C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,300,27.87429,67.70677
BAM6104,BAM6104A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,120,27.662,68.07834
BAM6104,BAM6104B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,230,27.662,68.07834
BAM6104,BAM6104C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,320,27.662,68.07834
BAM6104,BAM6104D,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,130,27.662,68.07834
BAM6104,BAM6104E,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,240,27.662,68.07834
BAM6104,BAM6104F,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,330,27.662,68.07834
BCN7067,BCN7067A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,40,27.57829,68.11416
BCN7067,BCN7067B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,150,27.57829,68.11416
BCN7067,BCN7067C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,320,27.57829,68.11416
BCN7145,BCN7145A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,60,27.62722,68.15023
BCN7145,BCN7145B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,180,27.62722,68.15023
BCN7145,BCN7145C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,300,27.62722,68.15023
BDR6082,BDR6082A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,40,27.334028,68.019528
BDR6082,BDR6082B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,180,27.334028,68.019528
BDR6082,BDR6082C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,280,27.334028,68.019528
BDR6082,BDR6082D,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,50,27.334028,68.019528
BDR6082,BDR6082E,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,190,27.334028,68.019528
BDR6082,BDR6082F,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,290,27.334028,68.019528
BDR6871,BDR6871A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,20,27.32377,68.0167
BDR6871,BDR6871B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,150,27.32377,68.0167
BDR6871,BDR6871C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,250,27.32377,68.0167
BDR6871,BDR6871D,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,30,27.32377,68.0167
BDR6871,BDR6871E,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,160,27.32377,68.0167
BDR6871,BDR6871F,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,260,27.32377,68.0167
BER0832,BER0832A,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,70,25.9391,68.82006
BER0832,BER0832B,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,190,25.9391,68.82006
BER0832,BER0832C,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,305,25.9391,68.82006
BER6132,BER6132A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,10,25.78591,68.80285
BER6132,BER6132B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,100,25.78591,68.80285
BER6132,BER6132C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,260,25.78591,68.80285
BER6132,BER6132D,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,0,25.78591,68.80285
BER6132,BER6132E,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,0,25.78591,68.80285
BER6170,BER6170A,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,20,25.95502,68.88583
BER6170,BER6170B,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,160,25.95502,68.88583
BER6170,BER6170C,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,270,25.95502,68.88583
BER6170,BER6170D,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,0,25.95502,68.88583
BER6170,BER6170E,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,0,25.95502,68.88583
BER6170,BER6170F,Phase-1,2G,on air,#N/A,CL02_Sanghar,ZTE,0,25.95502,68.88583
BER6478,BER6478A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,40,25.78887,68.81665
BER6478,BER6478B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,180,25.78887,68.81665
BER6478,BER6478C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,255,25.78887,68.81665
BHN6042,BHN6042A,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,20,26.56435,67.72413
BHN6042,BHN6042B,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,140,26.56435,67.72413
BHN6042,BHN6042C,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,210,26.56435,67.72413
BHN6042,BHN6042D,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,30,26.56435,67.72413
BHN6042,BHN6042E,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,150,26.56435,67.72413
BHN6042,BHN6042F,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,220,26.56435,67.72413
BHN6519,BHN6519A,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,60,26.55599,67.72132
BHN6519,BHN6519B,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,180,26.55599,67.72132
BHN6519,BHN6519C,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,300,26.55599,67.72132
BHN6910,BHN6910A,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,60,26.55912,67.72156
BHN6910,BHN6910B,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,180,26.55912,67.72156
BHN6910,BHN6910C,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,300,26.55912,67.72156
BHT6134,BHT6134A,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,60,25.8046,68.49253
BHT6134,BHT6134B,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,180,25.8046,68.49253
BHT6134,BHT6134C,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,290,25.8046,68.49253
BHT6134,BHT6134F,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.8046,68.49253
BHT6135,BHT6135A,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,65,25.80803,68.49975
BHT6135,BHT6135B,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,200,25.80803,68.49975
BHT6135,BHT6135C,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,290,25.80803,68.49975
BHT6135,BHT6135D,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.80803,68.49975
BHT6135,BHT6135E,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.80803,68.49975
BHT6135,BHT6135F,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.80803,68.49975
BHT6169,BHT6169A,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,90,25.79268,68.58054
BHT6169,BHT6169B,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,195,25.79268,68.58054
BHT6169,BHT6169C,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,290,25.79268,68.58054
BHT6169,BHT6169D,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,100,25.79268,68.58054
BHT6169,BHT6169E,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,205,25.79268,68.58054
BHT6169,BHT6169F,Phase-1,2G,on air,#N/A,CL03_TandoAdam,ZTE,300,25.79268,68.58054
BHT6179,BHT6179A,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,60,25.80643,68.48646
BHT6179,BHT6179B,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,180,25.80643,68.48646
BHT6179,BHT6179C,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,310,25.80643,68.48646
BHT6179,BHT6179D,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.80643,68.48646
BHT6179,BHT6179E,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.80643,68.48646
BHT6179,BHT6179F,Phase-1,2G,on air,#N/A,CL04_Hala,ZTE,0,25.80643,68.48646
BKN7104,BKN7104A,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,10,27.44766,68.18374
BKN7104,BKN7104B,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,130,27.44766,68.18374
BKN7104,BKN7104C,Phase-1,2G,on air,#N/A,CL11_Shahdadkot,ZTE,290,27.44766,68.18374
BLN6260,BLN6260A,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,40,27.1627,68.34254
BLN6260,BLN6260B,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,190,27.1627,68.34254
BLN6260,BLN6260C,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,285,27.1627,68.34254
BNB5718,BNB5718A,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,70,26.6792,68.28762
BNB5718,BNB5718B,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,165,26.6792,68.28762
BNB5718,BNB5718C,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,330,26.6792,68.28762
BND6045,BND6045A,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,85,26.58705,68.30345
BND6045,BND6045B,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,175,26.58705,68.30345
BND6045,BND6045C,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,270,26.58705,68.30345
BND6045,BND6045D,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,5,26.58705,68.30345
BND6045,BND6045E,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,185,26.58705,68.30345
BND6045,BND6045F,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,280,26.58705,68.30345
BND6445,BND6445A,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,30,26.58586,68.29778
BND6445,BND6445B,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,200,26.58586,68.29778
BND6445,BND6445C,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,300,26.58586,68.29778
BND6446,BND6446A,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,60,26.57195,68.26999
BND6446,BND6446B,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,190,26.57195,68.26999
BND6446,BND6446C,Phase-1,2G,on air,#N/A,CL07_Moro,ZTE,295,26.57195,68.26999
BNK6650,BNK6650A,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,10,26.11613,68.39752
BNK6650,BNK6650B,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,120,26.11613,68.39752
BNK6650,BNK6650C,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,270,26.11613,68.39752
BNK6651,BNK6651A,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,110,26.05254,68.40344
BNK6651,BNK6651B,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,250,26.05254,68.40344
BNK6651,BNK6651C,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,350,26.05254,68.40344
BNK6651,BNK6651E,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,260,26.05254,68.40344
BNK6651,BNK6651F,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,360,26.05254,68.40344
BNK6652,BNK6652A,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,120,26.01364,68.41241
BNK6652,BNK6652B,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,250,26.01364,68.41241
BNK6652,BNK6652C,Phase-1,2G,on air,#N/A,CL06_Sakrand,ZTE,350,26.01364,68.41241
BOB5709,BOB5709A,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,105,26.44372,67.72608
BOB5709,BOB5709B,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,195,26.44372,67.72608
BOB5709,BOB5709C,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,285,26.44372,67.72608
BOB5709,BOB5709D,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,115,26.44372,67.72608
BOB5709,BOB5709E,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,205,26.44372,67.72608
BOB5709,BOB5709F,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,295,26.44372,67.72608
BOB5710,BOB5710A,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,35,26.49887,67.69858
BOB5710,BOB5710B,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,170,26.49887,67.69858
BOB5710,BOB5710C,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,295,26.49887,67.69858
BOB5710,BOB5710F,Phase-1,2G,on air,#N/A,CL09_Dadu,ZTE,305,26.49887,67.69858
BOH0316,BOH0316A,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,60,26.35357,68.36222
BOH0316,BOH0316B,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,180,26.35357,68.36222
BOH0316,BOH0316C,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,300,26.35357,68.36222
BOH6744,BOH6744A,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,30,26.33368,68.35281
BOH6744,BOH6744B,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,190,26.33368,68.35281
BOH6744,BOH6744C,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,290,26.33368,68.35281
BOH6744,BOH6744D,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,40,26.33368,68.35281
BOH6744,BOH6744E,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,200,26.33368,68.35281
BOH6744,BOH6744F,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,300,26.33368,68.35281
BOH6745,BOH6745A,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,60,26.30671,68.37
BOH6745,BOH6745B,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,150,26.30671,68.37
BOH6745,BOH6745C,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,290,26.30671,68.37
BOH6745,BOH6745D,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,70,26.30671,68.37
BOH6745,BOH6745E,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,160,26.30671,68.37
BOH6745,BOH6745F,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,300,26.30671,68.37
BOH6746,BOH6746A,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,30,26.29797,68.431919
BOH6746,BOH6746B,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,90,26.29797,68.431919
BOH6746,BOH6746C,Phase-1,2G,on air,#N/A,CL05_Nawabshah,ZTE,300,26.29797,68.431919
BOZ6437,BOZ6437A,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,0,27.18318,68.63783
BOZ6437,BOZ6437B,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,120,27.18318,68.63783
BOZ6437,BOZ6437C,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,280,27.18318,68.63783
BOZ6438,BOZ6438A,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,60,27.20705,68.6651
BOZ6438,BOZ6438B,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,180,27.20705,68.6651
BOZ6438,BOZ6438C,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,320,27.20705,68.6651
BOZ6438,BOZ6438E,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,0,27.20705,68.6651
BOZ6438,BOZ6438F,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,0,27.20705,68.6651
BOZ6439,BOZ6439A,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,0,27.19545,68.64209
BOZ6439,BOZ6439B,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,120,27.19545,68.64209
BOZ6439,BOZ6439C,Phase-1,2G,on air,#N/A,CL15_Ranipur,ZTE,260,27.19545,68.64209
BRR5870,BRR5870A,Phase-1,2G,on air,#N/A,CL12_Khanpur Mahar,ZTE,105,27.89223,69.37221
BRR5870,BRR5870B,Phase-1,2G,on air,#N/A,CL12_Khanpur Mahar,ZTE,235,27.89223,69.37221
BRR5870,BRR5870C,Phase-1,2G,on air,#N/A,CL12_Khanpur Mahar,ZTE,355,27.89223,69.37221
BRR5871,BRR5871A,Phase-1,2G,on air,#N/A,CL12_Khanpur Mahar,ZTE,35,27.94031,69.42059
BRR5871,BRR5871B,Phase-1,2G,on air,#N/A,CL12_Khanpur Mahar,ZTE,155,27.94031,69.42059
BRR5871,BRR5871C,Phase-1,2G,on air,#N/A,CL12_Khanpur Mahar,ZTE,270,27.94031,69.42059
